VERBS:
parlo,speak
allontarsi,to move away
faccio,do
mangio,eat
vedo,see
voglio,want
io ho,i have
piache,like
ho bisogno,i need
vado,go
imparo,learn
mi sveglio,wake up
pulisco,clean
nuoto,swim
ballo,dance
prendo,take
ho ferito,i hurt
trovo,find
capisco,understand
bevo,drink
lavoro,work
puzzo,smell
sento,hear
guardo,look
resto,stay
dimentico,forget
gioco,play
sviluppo,develop
me ricordo,remember
cuiodo,close
colpisco,hit
sono daccordo,agree
me svelglio,to wake up
mi tolgo,to take off
Sostituisco,to replace
raggiungo,to reach
spingo,to push
controllo,to check
accendo,to light up
aggiusto,to fix
porto,to bring
Tengo,to keep
Riempio,to fill
Arrotolo,to roll up
Asciugo,to dry
Sbaglio,to mistake
credo,to believe
cheido,to ask
sparisco,to disappear
aspetto,wait
VOCAB:
ragazzo,bf
chiesa,church
tavolo,table
mogio,despondent
prego,you're welcome
ecco,here
